"SEX","n","island","ID","tripID","n_locs","departure","return","duration","total_dist","max_dist","direction","Mean_Depth","Median_Depth","SD_Depth","Max_Depth","Min_Depth","Source","Island"
"F","53","SP","SLSPSP2","SLSPSP2_02","861","2022-06-17 17:25:40","2022-06-17 20:03:01","2.6225","88.3691369805725","24.3360866713644","337.024673986702",NA,NA,NA,NA,NA,NA,NA
"F","54","SP","SLSPSP2","SLSPSP2_03","423","2022-06-18 09:21:09","2022-06-18 10:32:42","1.1925","39.2495966132942","15.7498789143883","255.111584013802",NA,NA,NA,NA,NA,NA,NA
"F","55","SP","SLSPSP2","SLSPSP2_04","1525","2022-06-18 15:15:41","2022-06-18 19:35:00","4.32194444444444","116.601279567937","21.7811813639773","279.911321994043",NA,NA,NA,NA,NA,NA,NA
"F","56","SP","SLSPSP2","SLSPSP2_05","1124","2022-06-19 08:26:29","2022-06-19 11:40:41","3.23666666666667","86.6320937050056","18.1737692270888","330.450221702695",NA,NA,NA,NA,NA,NA,NA
"F","57","SP","SLSPSP2","SLSPSP2_06","425","2022-06-19 16:52:12","2022-06-19 18:10:42","1.30833333333333","43.4511194972396","17.2382852826953","48.2836524434816",NA,NA,NA,NA,NA,NA,NA
"F","58","SP","SLSPSP20","SLSPSP20_01","1094","2022-06-17 13:10:13","2022-06-17 16:38:42","3.47472222222222","112.961855049635","29.349671045392","12.4694509421141",NA,NA,NA,NA,NA,NA,NA
"F","59","SP","SLSPSP20","SLSPSP20_02","589","2022-06-18 13:15:41","2022-06-18 14:56:50","1.68583333333333","64.7824012508553","23.898465468378","355.582245375046",NA,NA,NA,NA,NA,NA,NA
"F","60","SP","SLSPSP20","SLSPSP20_03","1055","2022-06-19 13:21:40","2022-06-19 16:25:11","3.05861111111111","80.3533034500482","19.7809903069842","20.7231602180352",NA,NA,NA,NA,NA,NA,NA
"F","61","SP","SLSPSP20","SLSPSP20_04","811","2022-06-20 14:02:27","2022-06-20 16:19:21","2.28166666666667","91.6030125814851","33.5715397242875","54.5439500470487",NA,NA,NA,NA,NA,NA,NA
"M","62","SP","SLSPSP21","SLSPSP21_01","1281","2022-06-17 16:35:31","2022-06-17 20:19:11","3.72777777777778","90.2916361898578","25.0124829207732","336.345161195973",NA,NA,NA,NA,NA,NA,NA
"M","63","SP","SLSPSP21","SLSPSP21_02","716","2022-06-18 10:40:19","2022-06-18 12:43:19","2.05","53.7914668642079","20.6651237746039","273.375787601724",NA,NA,NA,NA,NA,NA,NA
"M","64","SP","SLSPSP21","SLSPSP21_03","792","2022-06-19 11:01:29","2022-06-19 13:15:51","2.23944444444444","55.9838949910815","15.4379850253293","337.683469109762",NA,NA,NA,NA,NA,NA,NA
"M","65","SP","SLSPSP21","SLSPSP21_04","672","2022-06-20 04:35:24","2022-06-20 06:33:16","1.96444444444444","51.5407636741208","17.9692975557693","1.27412527268513",NA,NA,NA,NA,NA,NA,NA
"M","66","SP","SLSPSP21","SLSPSP21_05","472","2022-06-21 04:51:04","2022-06-21 06:11:06","1.33388888888889","48.2958582006471","21.2875417851987","77.0342468349957",NA,NA,NA,NA,NA,NA,NA
"M","67","SP","SLSPSP3","SLSPSP3_01","982","2022-06-16 17:06:30","2022-06-16 19:54:01","2.79194444444444","82.1404904255973","22.2942949916561","354.335934584788",NA,NA,NA,NA,NA,NA,NA
"M","68","SP","SLSPSP3","SLSPSP3_02","1103","2022-06-17 16:55:00","2022-06-17 20:19:21","3.40583333333333","90.7010803761973","25.0456078526267","336.653183611475",NA,NA,NA,NA,NA,NA,NA
"M","69","SP","SLSPSP3","SLSPSP3_03","1141","2022-06-18 09:49:40","2022-06-18 13:07:21","3.29472222222222","63.1248404201335","16.2429257229456","358.024828401043",NA,NA,NA,NA,NA,NA,NA
"M","70","SP","SLSPSP3","SLSPSP3_04","1843","2022-06-19 06:58:08","2022-06-19 12:10:57","5.21361111111111","107.028735493757","28.8766915560223","292.716183032758",NA,NA,NA,NA,NA,NA,NA
"F","71","SP","SLSPSP4","SLSPSP4_01","531","2022-06-16 18:42:30","2022-06-16 20:10:52","1.47277777777778","62.2327745456236","21.6817155216435","49.5089567286489",NA,NA,NA,NA,NA,NA,NA
"F","72","SP","SLSPSP4","SLSPSP4_02","1412","2022-06-17 15:02:52","2022-06-17 19:08:01","4.08583333333333","105.441304819058","24.0450469451447","38.3311397144168",NA,NA,NA,NA,NA,NA,NA
"F","73","SP","SLSPSP4","SLSPSP4_03","1351","2022-06-18 11:13:00","2022-06-18 15:11:11","3.96972222222222","116.894256815524","31.0536106005942","305.819497661407",NA,NA,NA,NA,NA,NA,NA
"F","74","SP","SLSPSP4","SLSPSP4_04","704","2022-06-19 08:53:20","2022-06-19 10:55:49","2.04138888888889","69.7300341598021","16.4102625823991","321.273426493495",NA,NA,NA,NA,NA,NA,NA
"F","75","SP","SLSPSP4","SLSPSP4_05","779","2022-06-20 09:14:32","2022-06-20 11:30:50","2.27166666666667","75.7278869190275","22.7433420260866","44.0860822387202",NA,NA,NA,NA,NA,NA,NA
"M","76","SP","SLSPSP5","SLSPSP5_01","1178","2022-06-16 16:19:19","2022-06-16 19:50:41","3.52277777777778","94.8936065602492","26.5170438656616","331.449484691522",NA,NA,NA,NA,NA,NA,NA
"M","77","SP","SLSPSP5","SLSPSP5_02","950","2022-06-17 16:35:39","2022-06-17 19:15:30","2.66416666666667","82.4700007941485","29.2307822887258","48.6941530544652",NA,NA,NA,NA,NA,NA,NA
"M","78","SP","SLSPSP5","SLSPSP5_03","784","2022-06-18 12:28:20","2022-06-18 14:42:39","2.23861111111111","64.7326599471299","22.8963712759712","358.626815990137",NA,NA,NA,NA,NA,NA,NA
"M","79","SP","SLSPSP5","SLSPSP5_04","721","2022-06-19 03:25:19","2022-06-19 05:29:50","2.07527777777778","51.6077950649709","14.5558458691907","323.391303467165",NA,NA,NA,NA,NA,NA,NA
"F","80","SP","SLSPSP6","SLSPSP6_01","536","2022-06-16 15:11:01","2022-06-16 16:40:10","1.48583333333333","44.2779094588952","17.7103221825884","353.896076632166",NA,NA,NA,NA,NA,NA,NA
"F","81","SP","SLSPSP6","SLSPSP6_02","578","2022-06-17 09:41:19","2022-06-17 11:18:32","1.62027777777778","46.7723791714544","13.4265861335422","322.288282543519",NA,NA,NA,NA,NA,NA,NA
"F","82","SP","SLSPSP6","SLSPSP6_03","859","2022-06-17 17:29:49","2022-06-17 19:52:51","2.38388888888889","74.8505098138851","31.6664437295099","60.0536792153756",NA,NA,NA,NA,NA,NA,NA
"F","83","SP","SLSPSP6","SLSPSP6_04","903","2022-06-18 15:56:51","2022-06-18 18:33:41","2.61388888888889","78.9013434029283","26.4693295120421","314.392349573868",NA,NA,NA,NA,NA,NA,NA
"F","84","SP","SLSPSP6","SLSPSP6_05","592","2022-06-19 13:25:20","2022-06-19 15:08:40","1.72222222222222","50.7673306734431","17.6620362851882","3.80107961191851",NA,NA,NA,NA,NA,NA,NA
"F","85","SP","SLSPSP6","SLSPSP6_06","416","2022-06-19 19:06:10","2022-06-19 20:15:20","1.15277777777778","40.6269026506689","14.5816996449017","53.3212380499041",NA,NA,NA,NA,NA,NA,NA
"F","86","SP","SLSPSP7","SLSPSP7_01","563","2022-06-16 16:57:09","2022-06-16 18:35:20","1.63638888888889","64.6899870098512","28.7313321520973","36.1876399567311",NA,NA,NA,NA,NA,NA,NA
"F","87","SP","SLSPSP7","SLSPSP7_02","891","2022-06-17 10:28:30","2022-06-17 13:00:41","2.53638888888889","72.6928816163995","25.0118439954795","336.266560407235",NA,NA,NA,NA,NA,NA,NA
"F","88","SP","SLSPSP7","SLSPSP7_03","497","2022-06-18 09:13:49","2022-06-18 10:40:29","1.44444444444444","41.3175539393342","15.1794760483812","330.9423274679",NA,NA,NA,NA,NA,NA,NA
"F","89","SP","SLSPSP7","SLSPSP7_04","741","2022-06-18 14:50:40","2022-06-18 16:54:13","2.05916666666667","61.6299799384861","22.8589072415873","22.5097910122312",NA,NA,NA,NA,NA,NA,NA
"F","90","SP","SLSPSP7","SLSPSP7_05","768","2022-06-18 17:08:49","2022-06-18 19:16:40","2.13083333333333","50.085446763271","11.2482628556822","297.35355379647",NA,NA,NA,NA,NA,NA,NA
